month,sr_type,complaint_count
5,Street Light Out Complaint,22897
5,Street Light Pole Damage Complaint,2343
5,Street Light Pole Door Missing Complaint,488
5,Submerged Divvy or Lime Device in the Lake/River,2
5,Tobacco - General Complaint,130
5,Tobacco - Sale to Minors Complaint,76
5,Traffic Signal Out Complaint,12593
5,Tree Debris Clean-Up Request,17379
5,Tree Emergency,15013
5,Tree Planting Request,8631
5,Tree Removal Inspection,12875
5,Tree Trim Request (NO LONGER BEING ACCEPTED),20676
5,Vacant/Abandoned Building Complaint,3677
5,Vehicle Parked in Bike Lane Complaint,500
5,Viaduct Light Out Complaint,178
5,Vicious Animal Complaint,3534
5,Wage Complaint,110
5,Water Lead Test Kit Request,3528
5,Water Lead Test Visit Request,743
5,Water On Street Complaint,7810
5,Water Quality Concern,309
5,Water in Basement Complaint,4386
5,Weed Removal Request,12662
5,Wire Basket Request,664
5,Yard Waste Pick-Up Request,9580
6,311 INFORMATION ONLY CALL,352468
6,Abandoned Vehicle Complaint,22467
6,Aircraft Noise Complaint,165633
6,Alley Light Out Complaint,4731
6,Alley Pothole Complaint,5462
6,Alley Sewer Inspection Request,938
6,Animal In Trap Complaint,174
6,Bee/Wasp Removal,123
6,Bicycle Request/Complaint,429
6,Blue Recycling Cart,11263
6,Building Violation,17377
6,Buildings - Plumbing Violation,3523
6,Bungalow/Vintage Home Information Request,64
6,Business Complaints,2289
6,Cab Feedback,1759
6,Cable TV Complaint,244
6,Check for Leak,4120
6,City Vehicle Sticker Violation,1750
6,Clean Vacant Lot Request,4202
6,Clean and Green Program Request,141
6,Commercial Fire Safety Inspection Request,152
6,Consumer Fraud Complaint,592
6,Consumer Retail Business Complaint,339
6,Coyote Interaction Complaint,407
6,Dead Animal Pick-Up Request,9065
6,Dead Bird,428
6,Divvy Bike Parking Complaint,740
6,E-Scooter Parking Complaint,1286
6,Finance Parking Code Enforcement Review,2908
6,Fly Dumping Complaint,7078
6,Garbage Cart Maintenance,30677
6,Graffiti Removal Request,49035
6,Home Buyer Program Info Request,150
6,Inaccurate Fuel Pump Complaint,37
6,Inaccurate Retail Scales Complaint,3
6,Inspect Public Way Request,4933
6,Lead Inspection Request,144
6,Licensed Pharmaceutical Representative Complaint,4
6,Liquor Establishment Complaint,137
6,Low Water Pressure Complaint,1328
6,Missed Garbage Pick-Up Complaint,5232
6,No Air Conditioning,469
6,No Building Permit and Construction Violation,2707
6,No Solicitation Complaint,33
6,No Water Complaint,1326
6,Nuisance Animal Complaint,3378
6,Open Fire Hydrant Complaint,11998
6,Outdated Merchandise Complaint,32
6,Paid Sick Leave Violation,110
6,Pavement Cave-In Inspection Request,33
6,Pet Wellness Check Request,1569
6,Porch Inspection Request,330
6,Pothole in Street Complaint,24542
6,Protected Bike Lane - Debris Removal,150
6,Public Vehicle Complaint,173
6,Pushcart Food Vendor Complaint,148
6,Recycling Inspection Request,191
6,Recycling Pick Up,3988
6,Renters and Foreclosure Complaint,28
6,Report an Injured Animal,5260
6,Restaurant Complaint,1456
6,Ridesharing Complaint,103
6,Rodent Baiting/Rat Complaint,33739
6,Sanitation Code Violation,9602
6,Sewer Cave-In Inspection Request,3227
6,Sewer Cleaning Inspection Request,6317
6,Shared Cost Sidewalk Program Request,173
6,Shared Housing/Vacation Rental Complaint,212
6,Sidewalk Café/Outdoor Dining Complaint,260
6,Sidewalk Inspection Request,5061
6,Sign Repair Request - All Other Signs,11476
6,Sign Repair Request - Do Not Enter Sign,337
6,Sign Repair Request - One Way Sign,1235
6,Sign Repair Request - Stop Sign,2520
6,Smokeless Tobacco at Sports Event Complaint,4
6,Snow - Object/Dibs Removal Request,2
6,Stray Animal Complaint,5711
6,Street Cleaning Request,3052
6,Street Light On During Day Complaint,612
6,Street Light Out Complaint,27200
6,Street Light Pole Damage Complaint,2379
6,Street Light Pole Door Missing Complaint,526
6,Submerged Divvy or Lime Device in the Lake/River,3
6,Tobacco - General Complaint,113
6,Tobacco - Sale to Minors Complaint,83
6,Traffic Signal Out Complaint,13232
6,Tree Debris Clean-Up Request,23458
6,Tree Emergency,19597
6,Tree Planting Request,9085
6,Tree Removal Inspection,14643
6,Tree Trim Request (NO LONGER BEING ACCEPTED),28810
6,Vacant/Abandoned Building Complaint,4340
6,Vehicle Parked in Bike Lane Complaint,972
6,Viaduct Light Out Complaint,148
6,Vicious Animal Complaint,3310
6,Wage Complaint,95
6,Water Lead Test Kit Request,4061
6,Water Lead Test Visit Request,813
6,Water On Street Complaint,6197
6,Water Quality Concern,489
6,Water in Basement Complaint,2554
6,Weed Removal Request,22167
6,Wire Basket Request,785
6,Yard Waste Pick-Up Request,8436
7,311 INFORMATION ONLY CALL,351970
7,Abandoned Vehicle Complaint,23549
7,Aircraft Noise Complaint,186951
7,Alley Light Out Complaint,4422
7,Alley Pothole Complaint,5285
7,Alley Sewer Inspection Request,1194
7,Animal In Trap Complaint,156
7,Bee/Wasp Removal,723
7,Bicycle Request/Complaint,428
7,Blue Recycling Cart,12478
7,Building Violation,12532
7,Buildings - Plumbing Violation,3891
7,Bungalow/Vintage Home Information Request,67
7,Business Complaints,2807
7,Cab Feedback,1641
7,Cable TV Complaint,219
7,Check for Leak,4666
7,City Vehicle Sticker Violation,1814
7,Clean Vacant Lot Request,3634
7,Clean and Green Program Request,117
7,Commercial Fire Safety Inspection Request,169
7,Consumer Fraud Complaint,601
7,Consumer Retail Business Complaint,393
7,Coyote Interaction Complaint,407
7,Dead Animal Pick-Up Request,9029
7,Dead Bird,400
7,Divvy Bike Parking Complaint,791
7,E-Scooter Parking Complaint,1324
7,Finance Parking Code Enforcement Review,3040
7,Fly Dumping Complaint,7983
7,Garbage Cart Maintenance,34903
7,Graffiti Removal Request,49347
7,Home Buyer Program Info Request,161
7,Inaccurate Fuel Pump Complaint,39
7,Inaccurate Retail Scales Complaint,4
7,Inspect Public Way Request,4864
7,Lead Inspection Request,143
7,Liquor Establishment Complaint,179
7,Low Water Pressure Complaint,1496
7,Missed Garbage Pick-Up Complaint,6631
7,No Air Conditioning,383
7,No Building Permit and Construction Violation,2693
7,No Solicitation Complaint,34
7,No Water Complaint,1626
7,Nuisance Animal Complaint,2878
7,Open Fire Hydrant Complaint,10531
7,Outdated Merchandise Complaint,33
7,Paid Sick Leave Violation,126
7,Pavement Cave-In Inspection Request,22
7,Pet Wellness Check Request,1526
7,Porch Inspection Request,397
7,Pothole in Street Complaint,22879
7,Protected Bike Lane - Debris Removal,140
7,Public Vehicle Complaint,202
7,Pushcart Food Vendor Complaint,164
7,Recycling Inspection Request,164
7,Recycling Pick Up,3854
7,Renters and Foreclosure Complaint,24
7,Report an Injured Animal,5224
7,Restaurant Complaint,1587
7,Ridesharing Complaint,86
7,Rodent Baiting/Rat Complaint,38383
7,Sanitation Code Violation,10697
7,Sewer Cave-In Inspection Request,3609
7,Sewer Cleaning Inspection Request,8217
7,Shared Cost Sidewalk Program Request,9
7,Shared Housing/Vacation Rental Complaint,217
7,Sidewalk Café/Outdoor Dining Complaint,240
7,Sidewalk Inspection Request,5644
7,Sign Repair Request - All Other Signs,10497
7,Sign Repair Request - Do Not Enter Sign,359
7,Sign Repair Request - One Way Sign,1383
7,Sign Repair Request - Stop Sign,2414
7,Smokeless Tobacco at Sports Event Complaint,1
7,Snow - Object/Dibs Removal Request,1
7,Stray Animal Complaint,5934
7,Street Cleaning Request,3321
7,Street Light On During Day Complaint,598
7,Street Light Out Complaint,27737
7,Street Light Pole Damage Complaint,2585
7,Street Light Pole Door Missing Complaint,449
7,Submerged Divvy or Lime Device in the Lake/River,4
7,Tobacco - General Complaint,90
7,Tobacco - Sale to Minors Complaint,66
7,Traffic Signal Out Complaint,13289
7,Tree Debris Clean-Up Request,30815
7,Tree Emergency,24272
7,Tree Planting Request,11814
7,Tree Removal Inspection,14810
7,Tree Trim Request (NO LONGER BEING ACCEPTED),24137
7,Vacant/Abandoned Building Complaint,4036
