year,sr_type,complaint_count
2024,Sanitation Code Violation,13602
2024,Sewer Cave-In Inspection Request,4442
2024,Sewer Cleaning Inspection Request,10095
2024,Shared Cost Sidewalk Program Request,1982
2024,Shared Housing/Vacation Rental Complaint,632
2024,Sidewalk Café/Outdoor Dining Complaint,382
2024,Sidewalk Inspection Request,10447
2024,Sign Repair Request - All Other Signs,16887
2024,Sign Repair Request - Do Not Enter Sign,732
2024,Sign Repair Request - One Way Sign,2605
2024,Sign Repair Request - Stop Sign,5071
2024,Smokeless Tobacco at Sports Event Complaint,6
2024,Snow - Object/Dibs Removal Request,1095
2024,Snow Removal - Protected Bike Lane or Bridge Sidewalk,32
2024,Snow – Uncleared Sidewalk Complaint,1254
2024,Stray Animal Complaint,12952
2024,Street Cleaning Request,6138
2024,Street Light On During Day Complaint,699
2024,Street Light Out Complaint,39171
2024,Street Light Pole Damage Complaint,4738
2024,Street Light Pole Door Missing Complaint,1158
2024,Submerged Divvy or Lime Device in the Lake/River,10
2024,Tobacco - General Complaint,144
2024,Tobacco - Sale to Minors Complaint,188
2024,Traffic Signal Out Complaint,26354
2024,Tree Debris Clean-Up Request,33951
2024,Tree Emergency,28287
2024,Tree Planting Request,17710
2024,Tree Removal Inspection,20690
2024,Tree Trim Request (NO LONGER BEING ACCEPTED),42834
2024,Vacant/Abandoned Building Complaint,6286
2024,Vehicle Parked in Bike Lane Complaint,807
2024,Viaduct Light Out Complaint,345
2024,Vicious Animal Complaint,7058
2024,Wage Complaint,233
2024,Water Lead Test Kit Request,14533
2024,Water Lead Test Visit Request,1338
2024,Water On Street Complaint,11648
2024,Water Quality Concern,846
2024,Water in Basement Complaint,4227
2024,Weed Removal Request,9300
2024,Wire Basket Request,1127
2024,Yard Waste Pick-Up Request,15033
2025,311 INFORMATION ONLY CALL,691302
2025,Abandoned Vehicle Complaint,52937
2025,Aircraft Noise Complaint,364926
2025,Alley Light Out Complaint,6177
2025,Alley Pothole Complaint,9009
2025,Alley Sewer Inspection Request,1321
2025,Animal In Trap Complaint,218
2025,Bee/Wasp Removal,756
2025,Bicycle Request/Complaint,700
2025,Blue Recycling Cart,21782
2025,Building Violation,19972
2025,Buildings - Plumbing Violation,8485
2025,Bungalow/Vintage Home Information Request,95
2025,Business Complaints,2939
2025,Cab Feedback,4309
2025,Cable TV Complaint,208
2025,Check for Leak,11494
2025,City Vehicle Sticker Violation,4510
2025,Clean Vacant Lot Request,4671
2025,Clean and Green Program Request,252
2025,Commercial Fire Safety Inspection Request,303
2025,Consumer Fraud Complaint,1257
2025,Consumer Retail Business Complaint,720
2025,Coyote Interaction Complaint,2231
2025,Dead Animal Pick-Up Request,16860
2025,Dead Bird,1289
2025,Divvy Bike Parking Complaint,2278
2025,E-Scooter Parking Complaint,7588
2025,Finance Parking Code Enforcement Review,20377
2025,Fly Dumping Complaint,15402
2025,Garbage Cart Maintenance,50160
2025,Graffiti Removal Request,94893
2025,Home Buyer Program Info Request,74
2025,Ice and Snow Removal Request,7356
2025,Inaccurate Fuel Pump Complaint,61
2025,Inaccurate Retail Scales Complaint,4
2025,Inspect Public Way Request,8383
2025,Lead Inspection Request,336
2025,Low Water Pressure Complaint,2037
2025,Missed Garbage Pick-Up Complaint,9294
2025,No Air Conditioning,516
2025,No Building Permit and Construction Violation,5071
2025,No Solicitation Complaint,76
2025,No Water Complaint,4524
2025,Nuisance Animal Complaint,6166
2025,Open Fire Hydrant Complaint,6653
2025,Outdated Merchandise Complaint,80
2025,Paid Sick Leave Violation,190
2025,Pavement Cave-In Inspection Request,40
2025,Pet Wellness Check Request,3714
2025,Petcoke Dust Complaint,1
2025,Porch Inspection Request,428
2025,Pothole in Street Complaint,44729
2025,Protected Bike Lane - Debris Removal,350
2025,Public Vehicle Complaint,364
2025,Pushcart Food Vendor Complaint,262
2025,Recycling Inspection Request,308
2025,Recycling Pick Up,5196
2025,Renters and Foreclosure Complaint,47
2025,Report an Injured Animal,9456
2025,Restaurant Complaint,3128
2025,Ridesharing Complaint,222
2025,Rodent Baiting/Rat Complaint,44181
2025,Sanitation Code Violation,14492
2025,Sewer Cave-In Inspection Request,4426
2025,Sewer Cleaning Inspection Request,8380
2025,Shared Cost Sidewalk Program Request,2372
2025,Shared Housing/Vacation Rental Complaint,548
2025,Sidewalk Café/Outdoor Dining Complaint,367
2025,Sidewalk Inspection Request,7899
2025,Sign Repair Request - All Other Signs,13303
2025,Sign Repair Request - Do Not Enter Sign,680
2025,Sign Repair Request - One Way Sign,2042
2025,Sign Repair Request - Stop Sign,4442
2025,Smokeless Tobacco at Sports Event Complaint,5
2025,Snow - Object/Dibs Removal Request,2139
2025,Snow Removal - Protected Bike Lane or Bridge Sidewalk,482
2025,Snow – Uncleared Sidewalk Complaint,9667
2025,Stray Animal Complaint,13376
2025,Street Cleaning Request,5725
2025,Street Light On During Day Complaint,760
2025,Street Light Out Complaint,35939
2025,Street Light Pole Damage Complaint,4356
2025,Street Light Pole Door Missing Complaint,1106
2025,Submerged Divvy or Lime Device in the Lake/River,23
2025,Tobacco - General Complaint,179
